filename,n_sequences,alignment_length,best_model,log_likelihood,aic_score,bic_score,method,freq_A,freq_R,freq_N,freq_D,freq_C,freq_Q,freq_E,freq_G,freq_H,freq_I,freq_L,freq_K,freq_M,freq_F,freq_P,freq_S,freq_T,freq_W,freq_Y,freq_V,gamma_shape,prop_invariant,insertion_rate,deletion_rate,insertion_events,deletion_events,mean_insertion_length,mean_deletion_length,total_gaps,indel_to_substitution_ratio,rf_length_distance
8471_NT_AL_AA.fasta,172,1420,LG+I+G4+F,-56454.225,113632.45,115535.9952,ModelTest-NG,0.1112,0.083,0.0299,0.0522,0.0149,0.0358,0.0575,0.1084,0.0174,0.0218,0.0647,0.0394,0.0193,0.0361,0.0922,0.1083,0.03,0.0087,0.0237,0.0454,1.2379,0.0717,0.0147649852603996,0.1328848673435964,72,80,2.351997391162563,2.939996738953204,36062,5.146595002588534e-05,334
57595_NT_AL_AA.fasta,184,823,LG+I+G4+F,-16331.6125,33435.2249,35254.426,ModelTest-NG,0.0649,0.0898,0.0359,0.0581,0.0128,0.0414,0.1088,0.0767,0.0247,0.0307,0.1073,0.054,0.0272,0.014,0.0608,0.0803,0.0388,0.0065,0.0218,0.0455,0.4716,0.1344,0.008743198267209,0.0786887844048814,30,31,1.9898553447304157,2.487319180913019,13240,6.118085059435692e-05,354
4128_NT_AL_AA.fasta,135,527,LG+I+G4,-12871.6192,26281.2384,27429.1153,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.6843,0.2866,0.0018272541991707,0.0164452877925363,1,9,5.714285714285715,7.142857142857143,1300,1.782413637603224e-05,256
24137_NT_AL_AA.fasta,172,1256,LG+I+G4,-28402.3247,57490.6495,59252.1902,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.893,0.2797,0.0047654977040438,0.0428894793363946,15,16,3.1860735009671184,3.9825918762088977,10295,1.9251872244575784e-05,328
5063_NT_AL_AA.fasta,179,563,LG+I+G4,-2806.4212,6325.4254,7873.8232,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.6299,0.7213,0.0027545967829961,0.024791371046965,3,5,2.933685601056803,3.667107001321004,2776,0.0001007937507874,344
778_NT_AL_AA.fasta,178,2022,LG+I+G4+F,-37461.2658,75670.5316,77769.3607,ModelTest-NG,0.071,0.0573,0.0362,0.0424,0.0214,0.0352,0.0691,0.0728,0.0237,0.0586,0.1138,0.0389,0.0227,0.0614,0.0504,0.0681,0.0506,0.0126,0.0247,0.069,0.5274,0.3682,0.0052256637659898,0.0470309738939085,30,34,2.889093701996928,3.61136712749616,18808,3.241019969240695e-05,342
55879_NT_AL_AA.fasta,175,672,LG+I+G4+F,-28186.9916,57109.9833,58769.7583,ModelTest-NG,0.0478,0.0581,0.0382,0.06,0.0194,0.0343,0.0605,0.0448,0.0279,0.0553,0.106,0.0324,0.0199,0.0488,0.0476,0.1029,0.057,0.0178,0.0474,0.0738,1.1927,0.0368,0.0126760204081632,0.1140841836734694,15,20,4.597378565921357,5.746723207401696,14907,1.665759224498654e-05,338
100130613_NT_AL_AA.fasta,118,312,LG+I+G4+F,-14387.3045,29282.609,30233.3318,ModelTest-NG,0.0762,0.0686,0.0414,0.0236,0.0189,0.0285,0.0522,0.0899,0.0283,0.0322,0.0781,0.0174,0.0313,0.0403,0.1548,0.1008,0.0375,0.0117,0.0118,0.0566,3.5368,0.0216,0.0135864841373315,0.1222783572359843,12,13,2.8603288062902075,3.5754110078627592,5002,4.289209378613659e-05,226
215_NT_AL_AA.fasta,182,753,LG+I+G4+F,-14514.2763,29792.5526,31558.9455,ModelTest-NG,0.1017,0.0784,0.0175,0.0325,0.0122,0.0471,0.067,0.0687,0.0237,0.0476,0.1257,0.0376,0.0236,0.0323,0.0427,0.0652,0.046,0.0149,0.0375,0.0782,0.5128,0.2359,0.0044911927382046,0.0404207346438422,16,22,1.730147575544624,2.16268446943078,6155,4.252247816526697e-05,350
8573_NT_AL_AA.fasta,175,934,LG+I+G4,-3558.08,7814.16,9503.1373,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.0875,0.873,0.0031605995717344,0.0284453961456102,2,3,7.85703422053232,9.8212927756654,5166,0.000159190041071,336
139760_NT_AL_AA.fasta,182,340,LG+I+G4,-11659.9106,23991.015,25435.7285,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.0,0.1637,0.0020555914673561,0.0185003232062055,5,8,1.1097055616139586,1.387131952017448,1272,1.46953429327835e-05,354
695_NT_AL_AA.fasta,185,661,LG+I+G4,-5556.614,11851.2279,13509.4231,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.5186,0.6075,0.0015463875373103,0.0139174878357934,1,4,6.907762557077625,8.634703196347031,1891,2.050609030882172e-05,354
158763_NT_AL_AA.fasta,176,673,LG+G4,-18968.5067,38637.0135,40216.1243,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.7725,0.0,0.0213967310549777,0.1925705794947994,20,24,5.764913278362241,7.206141597952801,25344,4.5126585199505656e-05,340
4515_NT_AL_AA.fasta,176,107,LG+G4,-1381.9438,3463.8875,4399.3776,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.4799,0.0,0.0001486830926083,0.0013381478334749,0,4,4.48,5.6,28,4.649540857840288e-05,338
5251_NT_AL_AA.fasta,178,753,LG+I+G4,-10889.8707,22489.7414,24131.2845,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.6775,0.4593,0.0027821299073369,0.0250391691660325,4,5,4.149095966620306,5.186369958275383,3729,1.4105632379008938e-05,342
4354_NT_AL_AA.fasta,183,478,LG+I+G4,-8334.2145,17398.4291,18920.337,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.5829,0.2196,0.0053615931591101,0.0482543384319912,7,8,2.970704671417261,3.713380839271576,4690,2.8714783710677497e-05,352
27018_NT_AL_AA.fasta,156,115,LG+G4,-1521.8526,3663.7052,4514.6341,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.659,0.0,0.0032497212931995,0.0292474916387959,2,7,1.344092219020173,1.680115273775216,583,0.0001285989854968,300
5613_NT_AL_AA.fasta,123,314,LG+I+G4,-5398.9245,11287.8489,12206.4502,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.7075,0.3093,0.0026746413960954,0.0240717725648594,1,2,5.263694267515923,6.579617834394904,1033,1.120506767860878e-05,230
10013_NT_AL_AA.fasta,182,1483,LG+I+G4,-46881.7288,94413.5336,96414.0191,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.0,0.1793,0.0249557253265951,0.2246015279393566,27,32,11.368270042194093,14.210337552742615,67357,1.9317224514278213e-05,348
7317_NT_AL_AA.fasta,186,1060,LG+I+G4,-14208.9247,29159.8494,31002.2444,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.657,0.5174,0.0003464191519578,0.0031177723676202,2,6,1.4229166666666666,1.7786458333333333,683,1.018834427943572e-05,358
27286_NT_AL_AA.fasta,185,469,LG+I+G4,-9877.4115,20423.4144,22024.3954,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.5622,0.1949,0.0018659597764075,0.0167936379876678,3,5,2.276274165202109,2.845342706502636,1619,1.641982200912942e-05,356
7552_NT_AL_AA.fasta,86,818,LG+G4,-8501.3678,17340.5614,18142.9023,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.4905,0.2051,0.003816739637232,0.0343506567350884,7,8,3.269406392694064,4.08675799086758,2685,7.865881476897906e-05,162
340595_NT_AL_AA.fasta,155,313,LG+I+G4,-17958.3757,36534.7515,37692.3283,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,2.3186,0.0233,0.0082118932288982,0.0739070390600845,3,9,4.800000000000001,6.0,3984,1.2149647204619296e-05,298
64840_NT_AL_AA.fasta,180,468,LG+I+G4+F,-5164.6714,11085.3428,12653.4638,ModelTest-NG,0.0781,0.0555,0.0178,0.0279,0.0245,0.0301,0.0325,0.0666,0.0395,0.029,0.1645,0.0279,0.0285,0.0682,0.0303,0.074,0.0464,0.0306,0.0411,0.0871,0.5828,0.305,0.0025534188034188,0.0229807692307692,3,9,3.1230490018148824,3.9038112522686026,2151,5.545132759720156e-05,344
140886_NT_AL_AA.fasta,161,382,LG+I+G4,-4487.663,9617.3261,10883.8061,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.6413,0.3275,4.552697473252903e-05,0.0004097427725927,0,5,3.733333333333334,4.666666666666667,28,2.6109251552195005e-05,310
63035_NT_AL_AA.fasta,183,1859,LG+I+G4+F,-38257.0364,77282.0727,79404.7456,ModelTest-NG,0.0792,0.0495,0.0291,0.0411,0.0185,0.0454,0.0598,0.0655,0.0176,0.0218,0.0893,0.0548,0.0147,0.021,0.1244,0.1147,0.0668,0.0084,0.0137,0.0644,0.9025,0.1927,0.0059024623967877,0.0531221615710896,46,67,1.8821323960164031,2.352665495020504,20080,4.398968539199871e-05,352
1741_NT_AL_AA.fasta,183,852,LG+I+G4,-5544.3451,11779.9072,13551.5593,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.6456,0.6019,0.0064637368839631,0.0581736319556684,4,6,11.371509167842031,14.214386459802538,10078,6.703491178205609e-05,352
4943_NT_AL_AA.fasta,181,707,LG+I+G4,-11734.6503,24128.5873,25837.8327,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.4672,0.2872,0.0063547633374229,0.0571928700368063,13,15,2.6285252525252525,3.285656565656565,8132,4.172117737162543e-05,348
795_NT_AL_AA.fasta,183,80,LG+I+G4,-2876.1161,6482.2322,7351.6719,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.0368,0.1925,0.0015710382513661,0.014139344262295,1,2,1.0,1.16751269035533,230,1.4881100010912809e-05,352
10916_NT_AL_AA.fasta,120,640,LG+I+G4,-13106.9889,26673.4936,27758.2686,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.0986,0.372,0.0081067708333333,0.0729609375,20,20,2.2,2.75,6226,8.798266741451933e-05,230
4534_NT_AL_AA.fasta,186,612,LG+I+G4,-9966.5166,20675.0332,22313.6409,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.5581,0.2988,0.0028120387940122,0.02530834914611,4,7,2.274245115452931,2.842806394316163,3201,1.5827770831145024e-05,356
347404_NT_AL_AA.fasta,173,422,LG+I+G4,-4399.7059,9489.4119,10884.9387,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.5731,0.3456,0.0070911979837273,0.0638207818535463,1,3,12.145454545454546,15.181818181818182,5177,2.146417896832424e-05,336
4810_NT_AL_AA.fasta,173,1684,LG+I+G4+F,-40552.6437,81833.2874,83809.4169,ModelTest-NG,0.0761,0.0651,0.0407,0.0575,0.0166,0.0421,0.0659,0.0505,0.0342,0.0327,0.073,0.0506,0.0131,0.0219,0.0875,0.1496,0.0576,0.0062,0.0145,0.0445,0.7569,0.2183,0.0072755481718451,0.0654799335466066,31,32,3.3504840940525598,4.188105117565699,21196,2.743313391331913e-05,330
4129_NT_AL_AA.fasta,163,520,LG+I+G4,-11132.9943,22915.9886,24298.483,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.679,0.1617,0.0014912694667295,0.0134214252005663,0,3,20.636734693877557,25.79591836734694,1264,4.91809728652179e-06,316
139378_NT_AL_AA.fasta,158,3125,LG+I+G4,-188209.4746,377048.9493,378953.814,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,2.2693,0.0242,0.0129628354430379,0.1166655189873417,55,60,4.92764892695602,6.159561158695024,64004,1.2109101105624107e-05,306
158747_NT_AL_AA.fasta,179,523,LG+I+G4,-12465.5368,25645.0737,27165.7443,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.783,0.2207,0.0036606599228772,0.0329459393058952,4,5,3.5375483870967743,4.421935483870968,3427,1.0541949932765786e-05,344
93380_NT_AL_AA.fasta,180,136,LG+G4,-1532.3099,3780.6199,4823.3503,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.5068,0.0,0.0046486928104575,0.0418382352941176,4,6,1.2626907073509015,1.5783633841886269,1138,0.0001272021878776,344
1774_NT_AL_AA.fasta,165,300,LG+I+G4,-12284.1022,25226.2044,26444.7489,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.0,0.1644,0.0079737373737373,0.0717636363636363,11,11,1.950339715873996,2.437924644842495,3947,2.8539627272467823e-05,318
9754_NT_AL_AA.fasta,178,1072,LG+I+G4+F,-32251.9825,65251.965,67113.4682,ModelTest-NG,0.0877,0.0674,0.0237,0.0457,0.0214,0.0588,0.0794,0.062,0.0309,0.0226,0.1047,0.0397,0.0227,0.0249,0.0725,0.1023,0.0423,0.0173,0.02,0.054,0.7706,0.1834,0.0074584940466208,0.0671264464195874,25,31,2.6343359555761223,3.2929199444701527,14232,2.7326537483713877e-05,342
64743_NT_AL_AA.fasta,181,488,LG+I+G4,-3350.1265,7403.5689,8934.9568,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.6321,0.4827,0.0025314735984059,0.0227832623856534,2,3,4.449751243781095,5.562189054726368,2236,4.229617473395706e-05,348
5358_NT_AL_AA.fasta,175,633,LG+I+G4,-3745.1227,8188.2454,9741.4596,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.5844,0.6809,0.0012006319115323,0.0108056872037914,2,8,2.923076923076924,3.6538461538461537,1330,8.85951467578606e-05,340
56271_NT_AL_AA.fasta,164,126,LG+G4,-6374.2277,13400.1898,14325.0833,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.7285,0.0215,0.0075929152148664,0.0683362369337979,5,8,1.499641577060932,1.874551971326165,1569,2.923904266875988e-05,314
22866_NT_AL_AA.fasta,175,1060,LG+I+G4,-6911.4585,14509.0785,16254.0595,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.95,0.6436,0.0053342318059299,0.0480080862533692,4,11,10.78474114441417,13.48092643051771,9895,6.086896534932699e-05,338
492_NT_AL_AA.fasta,180,1262,LG+I+G4,-13256.3986,27204.5155,29076.2199,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.6925,0.5472,0.0041045958795562,0.0369413629160063,10,11,4.202366197183099,5.252957746478873,9324,3.363045574071879e-05,348
84061_NT_AL_AA.fasta,175,337,LG+I+G4,-3603.5641,7869.3588,9238.3371,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.4041,0.4817,0.001734633319203,0.0156116998728274,1,6,3.91578947368421,4.894736842105263,1023,3.3867963325834e-05,334
369_NT_AL_AA.fasta,183,634,LG+I+G4+F,-8333.086,17434.172,19143.7588,ModelTest-NG,0.0659,0.0703,0.0287,0.0473,0.0222,0.0523,0.0441,0.0658,0.0331,0.0362,0.0904,0.05,0.0266,0.0435,0.0697,0.0879,0.0545,0.01,0.0268,0.0745,0.5633,0.4758,0.0063720673665339,0.0573486062988054,17,20,1.908486608583414,2.3856082607292675,7393,8.065289609291214e-05,352
3598_NT_AL_AA.fasta,184,369,LG+I+G4,-18671.114,38076.2281,39511.4905,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.43,0.1067,0.0073538941911158,0.0661850477200424,4,6,3.89317738791423,4.866471734892787,4993,6.996906667562271e-06,352
92129_NT_AL_AA.fasta,165,177,LG+I+G4,-8060.6865,16779.373,17824.3262,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.5704,0.0651,0.0240849169662729,0.216764252696456,6,10,5.783350462487153,7.229188078108941,7034,4.102164404493921e-05,316
6611_NT_AL_AA.fasta,178,364,LG+I+G4,-4111.6999,8933.3997,10316.8894,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.6926,0.4174,0.003647055191999,0.0328234967279911,3,5,4.039316239316239,5.049145299145299,2363,3.351683802150105e-05,342
1641_NT_AL_AA.fasta,164,367,LG+I+G4,-1636.6157,3925.1286,5204.2848,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.6994,0.8427,0.0029191865488137,0.0262726789393234,2,3,3.8092140921409214,4.761517615176151,1757,0.0001302049425796,314
94122_NT_AL_AA.fasta,177,769,LG+I+G4,-25325.0032,51356.0065,52995.7236,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.8815,0.1823,0.0045645897158978,0.0410813074430803,11,13,2.490180360721443,3.112725450901804,6213,1.5805539182919482e-05,340
56474_NT_AL_AA.fasta,177,592,LG+I+G4,-10948.6995,22587.9159,24150.7768,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.6659,0.2862,0.0030968468468468,0.0278716216216216,5,7,2.794402583423036,3.4930032292787945,3245,1.8150357562043973e-05,340
